Paper ID,Publishable,Conference,Rationale
P045.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.37.
P046.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.53.
P047.pdf,0,na,na
P048.pdf,0,na,na
P049.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.46.
P050.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.47.
P051.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.48.
P052.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.43.
P053.pdf,0,na,na
P054.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.93.
P055.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.28.
P056.pdf,0,na,na
P057.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.34.
P058.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.41.
P059.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.39.
P060.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.45.
P061.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.43.
P062.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.41.
P063.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.49.
P064.pdf,0,na,na
P065.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.50.
P066.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.45.
P067.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.47.
P068.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.34.
P069.pdf,0,na,na
P070.pdf,0,na,na
P071.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.40.
P072.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.59.
P073.pdf,0,na,na
P074.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.52.
P075.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.45.
P076.pdf,0,na,na
P077.pdf,0,na,na
P078.pdf,0,na,na
P079.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.29.
P080.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.35.
P081.pdf,0,na,na
P082.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.42.
P083.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.38.
P084.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.35.
P085.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.32.
P086.pdf,0,na,na
P087.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.40.
P088.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.55.
P089.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.51.
P090.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.47.
P091.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.28.
P092.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.45.
P093.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.42.
P094.pdf,0,na,na
P095.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.43.
P096.pdf,0,na,na
P097.pdf,0,na,na
P098.pdf,0,na,na
P099.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.40.
P100.pdf,0,na,na
P101.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.39.
P102.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.41.
P103.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.38.
P104.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.43.
P105.pdf,0,na,na
P106.pdf,0,na,na
P107.pdf,0,na,na
P108.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.36.
P109.pdf,1,KDD,The paper aligns with KDD due to its similarity with reference papers in that conference. Similarity score: 0.39.
P110.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.39.
P111.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.46.
P112.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.38.
P113.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.41.
P114.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.21.
P115.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.36.
P116.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.36.
P117.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.45.
P118.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.50.
P119.pdf,0,na,na
P120.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.50.
P121.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.45.
P122.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.22.
P123.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.47.
P124.pdf,0,na,na
P125.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.41.
P126.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.48.
P127.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.43.
P128.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.43.
P129.pdf,0,na,na
P130.pdf,0,na,na
P131.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.45.
P132.pdf,0,na,na
P133.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.42.
P134.pdf,0,na,na
P135.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.63.
